,OmsPostingId,PostingNumber,RezonItemId,Quantity,Price,Date,SourceLocationId
2,23239716619,48773595-0014-5,636968609,1,429.0,2024-03-01,15431806189000
10,23399291845,85149493-0256-10,863827048,1,630.0,2024-03-01,23843917228000
18,23428706819,40901283-0119-1,373310186,1,942.0,2024-03-01,6048863967000
65,23585076743,0111426135-0018-7,509859231,1,818.0,2024-03-01,23021125185000
72,23586931672,0114353800-0107-1,308281931,1,637.0,2024-03-01,18044570445000
90,23617082675,50973299-0064-2,1160665564,1,880.0,2024-03-01,18044341087000
97,23628110005,0107921413-0069-3,800908810,1,3627.0,2024-03-01,6048863967000
126,23660056338,10959042-0049-1,1157100792,1,779.0,2024-03-01,6048863967000
127,23660056338,10959042-0049-1,865778401,1,857.0,2024-03-01,6048863967000
145,23672965228,55784556-1223-3,823263432,1,2897.75,2024-03-01,18044249781000
205,23705612662,0156559974-0003-1,859256580,1,770.0,2024-03-01,23903599483000
207,23705612662,0156559974-0003-1,1317330548,1,770.0,2024-03-01,23903599483000
213,23710391615,0136980047-0002-2,1269785075,1,1550.0,2024-03-01,23843917228000
215,23710391615,0136980047-0002-2,1288862630,1,568.0,2024-03-01,23843917228000
290,23746731688,34104984-0101-1,1221500862,1,440.0,2024-03-01,23948599159000
291,23746731688,34104984-0101-1,1221535023,1,445.0,2024-03-01,23948599159000
292,23746731688,34104984-0101-1,438544010,1,460.0,2024-03-01,23948599159000
293,23746731688,34104984-0101-1,1221526220,1,402.0,2024-03-01,23948599159000
298,23749533035,0154184667-0011-5,825537278,1,485.0,2024-03-01,18044570445000
299,23749533035,0154184667-0011-5,1143847093,1,1291.0,2024-03-01,18044570445000
315,23753041143,88769655-0242-2,849655138,1,404.0,2024-03-01,1020000267736000
330,23759436066,38819762-0254-2,561369401,1,662.0,2024-03-01,23903599483000
353,23767260199,0152740039-0005-2,821007433,1,350.0,2024-03-01,23128509046000
364,23769026153,06797321-0179-1,875909743,1,655.0,2024-03-01,23128509046000
365,23769580544,60162592-0323-21,1221625280,1,1775.0,2024-03-01,17717042026000
376,23771871900,42731372-0516-1,811180779,1,1117.0,2024-03-01,23903599483000
377,23771871900,42731372-0516-1,1154383393,1,1161.0,2024-03-01,23903599483000
378,23771871900,42731372-0516-1,1158364576,1,696.0,2024-03-01,23903599483000
445,23793130438,37896630-0019-2,809072670,1,507.0,2024-03-01,18044494830000
446,23793130438,37896630-0019-2,809810943,1,525.0,2024-03-01,18044494830000
447,23793130438,37896630-0019-2,809832883,1,514.0,2024-03-01,18044494830000
448,23793130438,37896630-0019-2,809643995,1,496.0,2024-03-01,18044494830000
453,23793761205,50750645-0134-1,375172812,1,1560.0,2024-03-01,6048863967000
454,23793761205,50750645-0134-1,539966677,1,1241.0,2024-03-01,6048863967000
455,23793761205,50750645-0134-1,1346366206,1,836.0,2024-03-01,6048863967000
458,23794391205,50750645-0135-1,450227655,1,774.0,2024-03-01,6048863967000
459,23794391205,50750645-0135-1,607971650,1,1505.0,2024-03-01,6048863967000
460,23794391205,50750645-0135-1,1023902270,1,1909.0,2024-03-01,6048863967000
467,23795512733,52185773-0521-2,593024813,1,333.0,2024-03-01,23021125185000
477,23799667771,68181595-0086-1,167770512,1,1683.0,2024-03-01,18044494830000
478,23799667771,68181595-0086-1,167770513,1,1664.0,2024-03-01,18044494830000
479,23799667771,68181595-0086-1,167770514,1,1683.0,2024-03-01,18044494830000
480,23799667771,68181595-0086-1,167779187,1,1664.0,2024-03-01,18044494830000
498,23805763055,23456751-0189-1,976244274,1,416.0,2024-03-01,6048863967000
500,23805763055,23456751-0189-1,976248338,1,437.0,2024-03-01,6048863967000
520,23809536179,0157030435-0008-2,631571071,1,1112.0,2024-03-01,17717042026000
